artist,album,score,genre,label,reviewer,year,review_date,length,url,genre_clean,genre_list,genre_cleaned,genre_len,main_genre
Jeff Tweedy,Twilight Override,8.0,Rock,dBpm,Elizabeth Nelson,2025.0,2025-09-27,1262,https://www.pitchfork.com/reviews/albums/jeff-tweedy-twilight-override/,Rock,['Rock'],['Rock'],1,Rock
Geese,Getting Killed,9.0,Rock,Partisan / Play It Again Sam,Sam Sodomsky,2025.0,2025-09-26,827,https://www.pitchfork.com/reviews/albums/geese-getting-killed/,Rock,['Rock'],['Rock'],1,Rock
Piotr Kurek,Songs and Bodies,7.8,Experimental,Unsound,Philip Sherburne,2025.0,2025-09-26,602,https://www.pitchfork.com/reviews/albums/piotr-kurek-songs-and-bodies/,Experimental,['Experimental'],['Experimental'],1,Experimental
Paul St. Hilaire,w/ the Producers,7.1,Electronic,Kynant / N.E.W.S.,Daniel Bromfield,2025.0,2025-09-26,556,https://www.pitchfork.com/reviews/albums/paul-st-hilaire-w-the-producers/,Electronic,['Electronic'],['Electronic'],1,Electronic
Ø,Sysivalo,8.3,Electronic,Sähkö,Philip Sherburne,2025.0,2025-09-25,1170,https://www.pitchfork.com/reviews/albums/o-sysivalo/,Electronic,['Electronic'],['Electronic'],1,Electronic
Frost Children,SISTER,6.6,Electronic,True Panther,Kieran Press-Reynolds,2025.0,2025-09-25,693,https://www.pitchfork.com/reviews/albums/frost-children-sister/,Electronic,['Electronic'],['Electronic'],1,Electronic
múm,History of Silence,5.6,Electronic / Rock,Morr Music,Mark Richardson,2025.0,2025-09-25,726,https://www.pitchfork.com/reviews/albums/mum-history-of-silence/,Electronic / Rock,"['Electronic', 'Rock']","['Electronic', 'Rock']",2,Electronic
Cardi B,AM I THE DRAMA?,6.6,Rap,Atlantic,Rawiya Kameir,2025.0,2025-09-24,1038,https://www.pitchfork.com/reviews/albums/cardi-b-am-i-the-drama/,Rap,['Rap'],['Rap'],1,Rap
Asher White,8 Tips for Full Catastrophe Living,7.5,Rock,Joyful Noise,Grace Robins-Somerville,2025.0,2025-09-24,701,https://www.pitchfork.com/reviews/albums/asher-white-8-tips-for-full-catastrophe-living/,Rock,['Rock'],['Rock'],1,Rock
Orcutt Shelley Miller,Orcutt Shelley Miller,7.7,Rock,Silver Current,Grayson Haver Currin,2025.0,2025-09-24,1004,https://www.pitchfork.com/reviews/albums/orcutt-shelley-miller-orcutt-shelley-miller/,Rock,['Rock'],['Rock'],1,Rock
Joanne Robertson,Blurrr,9.0,Experimental,AD 93,Emma Madden,2025.0,2025-09-23,852,https://www.pitchfork.com/reviews/albums/joanne-robertson-blurrr/,Experimental,['Experimental'],['Experimental'],1,Experimental
Kieran Hebden,41 Longfield Street Late ’80s,7.7,Electronic / Experimental / Folk/Country,Temporary Residence Ltd.,Ben Cardew,2025.0,2025-09-23,699,https://www.pitchfork.com/reviews/albums/kieran-heben-william-tyler-41-longfield-street-late-80s/,Electronic / Experimental / Folk_Country,"['Electronic', 'Experimental', 'Folk_Country']","['Electronic', 'Experimental', 'Folk/Country']",3,Electronic
JADE,THAT’S SHOWBIZ BABY!,7.5,Pop/R&B,RCA,Harry Tafoya,2025.0,2025-09-23,1169,https://www.pitchfork.com/reviews/albums/jade-thats-showbiz-baby/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Joan Shelley,Real Warmth,7.7,Folk/Country,No Quarter,Stephen M. Deusner,2025.0,2025-09-22,757,https://www.pitchfork.com/reviews/albums/joan-shelley-real-warmth/,Folk_Country,['Folk_Country'],['Folk/Country'],1,Folk/Country
Verses GT,Verses GT,6.9,Electronic,LuckyMe,Sue Park,2025.0,2025-09-22,598,https://www.pitchfork.com/reviews/albums/verses-gt-nosaj-thing-jacques-greene-verses-gt/,Electronic,['Electronic'],['Electronic'],1,Electronic
Rian Treanor,Body Lapse,7.1,Electronic,Planet Mu,Andrew Ryce,2025.0,2025-09-22,638,https://www.pitchfork.com/reviews/albums/rian-treanor-cara-tolmie-body-lapse/,Electronic,['Electronic'],['Electronic'],1,Electronic
The Jim Carroll Band,Catholic Boy,8.8,Rock,ATCO,Linnie Greene,1980.0,2025-09-21,1781,https://www.pitchfork.com/reviews/albums/the-jim-carroll-band-catholic-boy/,Rock,['Rock'],['Rock'],1,Rock
Nine Inch Nails,TRON: Ares (Original Motion Picture Soundtrack),7.4,Rock,Interscope,Sadie Sartini Garner,2025.0,2025-09-20,1496,https://www.pitchfork.com/reviews/albums/nine-inch-nails-tron-ares-original-motion-picture-soundtrack/,Rock,['Rock'],['Rock'],1,Rock
Wednesday,Bleeds,8.7,Rock,Dead Oceans,Walden Green,2025.0,2025-09-19,1159,https://www.pitchfork.com/reviews/albums/wednesday-bleeds/,Rock,['Rock'],['Rock'],1,Rock
King Princess,Girl Violence,7.5,Pop/R&B,Section1,Lily Goldberg,2025.0,2025-09-19,991,https://www.pitchfork.com/reviews/albums/king-princess-girl-violence/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Anysia Kym,Purity,7.5,Pop/R&B / Electronic / Rap,10k,Olivier Lafontant,2025.0,2025-09-19,667,https://www.pitchfork.com/reviews/albums/anysia-kym-tony-seltzer-purity/,Pop_R&B / Electronic / Rap,"['Pop_R&B', 'Electronic', 'Rap']","['Pop/R&B', 'Electronic', 'Rap']",3,Pop/R&B
