artist,album,score,genre,label,reviewer,year,review_date,length,url
Jeff Tweedy,Twilight Override,8.0,Rock,dBpm,Elizabeth Nelson,2025.0,2025-09-27,1262,https://www.pitchfork.com/reviews/albums/jeff-tweedy-twilight-override/
Geese,Getting Killed,9.0,Rock,Partisan / Play It Again Sam,Sam Sodomsky,2025.0,2025-09-26,827,https://www.pitchfork.com/reviews/albums/geese-getting-killed/
Piotr Kurek,Songs and Bodies,7.8,Experimental,Unsound,Philip Sherburne,2025.0,2025-09-26,602,https://www.pitchfork.com/reviews/albums/piotr-kurek-songs-and-bodies/
Paul St. Hilaire,w/ the Producers,7.1,Electronic,Kynant / N.E.W.S.,Daniel Bromfield,2025.0,2025-09-26,556,https://www.pitchfork.com/reviews/albums/paul-st-hilaire-w-the-producers/
Ø,Sysivalo,8.3,Electronic,Sähkö,Philip Sherburne,2025.0,2025-09-25,1170,https://www.pitchfork.com/reviews/albums/o-sysivalo/
Frost Children,SISTER,6.6,Electronic,True Panther,Kieran Press-Reynolds,2025.0,2025-09-25,693,https://www.pitchfork.com/reviews/albums/frost-children-sister/
múm,History of Silence,5.6,Electronic / Rock,Morr Music,Mark Richardson,2025.0,2025-09-25,726,https://www.pitchfork.com/reviews/albums/mum-history-of-silence/
Cardi B,AM I THE DRAMA?,6.6,Rap,Atlantic,Rawiya Kameir,2025.0,2025-09-24,1038,https://www.pitchfork.com/reviews/albums/cardi-b-am-i-the-drama/
Asher White,8 Tips for Full Catastrophe Living,7.5,Rock,Joyful Noise,Grace Robins-Somerville,2025.0,2025-09-24,701,https://www.pitchfork.com/reviews/albums/asher-white-8-tips-for-full-catastrophe-living/
Orcutt Shelley Miller,Orcutt Shelley Miller,7.7,Rock,Silver Current,Grayson Haver Currin,2025.0,2025-09-24,1004,https://www.pitchfork.com/reviews/albums/orcutt-shelley-miller-orcutt-shelley-miller/
Joanne Robertson,Blurrr,9.0,Experimental,AD 93,Emma Madden,2025.0,2025-09-23,852,https://www.pitchfork.com/reviews/albums/joanne-robertson-blurrr/
Kieran Hebden,41 Longfield Street Late ’80s,7.7,Electronic / Experimental / Folk/Country,Temporary Residence Ltd.,Ben Cardew,2025.0,2025-09-23,699,https://www.pitchfork.com/reviews/albums/kieran-heben-william-tyler-41-longfield-street-late-80s/
