artist,album,score,genre,label,reviewer,album_year,review_date,length,url,artist_id,followers_count,review_datetime,review_year,reviewer_reviews,review_release_difference,artist_reviews,artist_review_number
!!!,Shake the Shudder,7.3,Rock,Warp,Stuart Berman,2017.0,2017-05-24,726,https://www.pitchfork.com/reviews/albums/23257-shake-the-shudder/,2Jc4AEeBTE47KwuKgYOtcL,362467.0,2017-05-24,2017,213,0.0,3.0,1.0
!!!,Wallop,7.2,Rock,Warp,Jesse Dorris,2019.0,2019-09-07,851,https://www.pitchfork.com/reviews/albums/-wallop/,2Jc4AEeBTE47KwuKgYOtcL,362467.0,2019-09-07,2019,61,0.0,3.0,2.0
!!!,Let It Be Blue,7.4,Rock,Warp,Brian Howe,2022.0,2022-05-12,884,https://www.pitchfork.com/reviews/albums/let-it-be-blue/,2Jc4AEeBTE47KwuKgYOtcL,362467.0,2022-05-12,2022,72,0.0,3.0,3.0
$ilkMoney,"I Don’t Give a Fuck About This Rap Shit, Imma Just Drop Until I Don’t Feel Like It Anymore",8.4,Rap,DB$B,Dylan Green,2022.0,2022-11-23,957,https://www.pitchfork.com/reviews/albums/silkmoney-i-dont-give-a-fuck-about-this-rap-shit-imma-just-drop-until-i-dont-feel-like-it-anymore/,6hj2p7pzusn5Fcdi35Yedr,72212.0,2022-11-23,2022,149,0.0,2.0,1.0
$ilkMoney,WHO WATERS THE WILTING GIVING TREE ONCE THE LEAVES DRY UP AND FRUITS NO LONGER BEAR?,8.0,Rap,Lex,Dash Lewis,2025.0,2025-07-18,1009,https://www.pitchfork.com/reviews/albums/silkmoney-who-waters-the-wilting-giving-tree-once-the-leaves-dry-up-and-fruits-no-longer-bear/,6hj2p7pzusn5Fcdi35Yedr,72212.0,2025-07-18,2025,53,0.0,2.0,2.0
$not,Beautiful Havoc,6.8,Rap,300 Entertainment,Nadine Smith,2020.0,2020-11-18,678,https://www.pitchfork.com/reviews/albums/dollarnot-beautiful-havoc/,5IbEL2xjRtKsunfmsahLuO,1564608.0,2020-11-18,2020,85,0.0,1.0,1.0
$uicideboy$,Long Term Effects of SUFFERING,6.7,Rap,G*59,Nadine Smith,2021.0,2021-08-20,1226,https://www.pitchfork.com/reviews/albums/suicideboys-long-term-effects-of-suffering/,1VPmR4DJC1PlOtd0IADAO0,8943513.0,2021-08-20,2021,85,0.0,1.0,1.0
---__--___,The Heart Pumps Kool-Aid,7.6,Experimental,Orange Milk,Sasha Geffen,2021.0,2021-09-30,666,https://www.pitchfork.com/reviews/albums/more-eaze-seth-graham-the-heart-pumps-kool-aid/,1qNEp9aZXjuwFFSv7y3xfx,1788.0,2021-09-30,2021,115,0.0,1.0,1.0
...And You Will Know Us by the Trail of Dead,Madonna,8.7,Rock,Merge,Stuart Berman,1999.0,2019-11-10,1934,https://www.pitchfork.com/reviews/albums/and-you-will-know-us-by-the-trail-of-madonna/,6wBUn8gMP85n8dPu6LoUcF,87941.0,2019-11-10,2019,213,20.0,3.0,1.0
...And You Will Know Us by the Trail of Dead,X: The Godless Void and Other Stories,7.8,Rock,Dine Alone,Stuart Berman,2020.0,2020-01-24,769,https://www.pitchfork.com/reviews/albums/and-you-will-know-us-by-the-trail-of-x-the-godless-void-and-other-stories/,6wBUn8gMP85n8dPu6LoUcF,87941.0,2020-01-24,2020,213,0.0,3.0,2.0
...And You Will Know Us by the Trail of Dead,XI: Bleed Here Now,7.5,Rock,Dine Alone,Evan Rytlewski,2022.0,2022-07-21,613,https://www.pitchfork.com/reviews/albums/and-you-will-know-us-by-the-trail-of-dead-xi-bleed-here-now/,6wBUn8gMP85n8dPu6LoUcF,87941.0,2022-07-21,2022,149,0.0,3.0,3.0
03 Greedo,The Wolf of Grape Street,8.0,Rap,Alamo,Paul A. Thompson,2018.0,2018-03-15,1036,https://www.pitchfork.com/reviews/albums/03-greedo-the-wolf-of-grape-street/,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2018-03-15,2018,99,0.0,7.0,1.0
03 Greedo,God Level,8.0,Rap,Alamo,Torii MacAdams,2018.0,2018-07-05,706,https://www.pitchfork.com/reviews/albums/03-greedo-god-level/,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2018-07-05,2018,13,0.0,7.0,2.0
03 Greedo,Still Summer in the Projects,7.6,Rap,Alamo / Interscope,Sheldon Pearce,2019.0,2019-04-24,417,https://www.pitchfork.com/reviews/albums/03-greedo-still-summer-in-the-projects/,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2019-04-24,2019,157,0.0,7.0,3.0
03 Greedo,Netflix & Deal,7.5,Rap,Alamo,Sheldon Pearce,2019.0,2019-12-05,530,https://www.pitchfork.com/reviews/albums/03-greedo-kenny-beats-netflix-and-deal/,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2019-12-05,2019,157,0.0,7.0,4.0
03 Greedo,"Load It Up, Vol. 01",7.5,Rap,Alamo,Mano Sundaresan,2020.0,2020-08-27,817,https://www.pitchfork.com/reviews/albums/03-greedo-ron-rontheproducer-load-it-up-vol-01/,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2020-08-27,2020,19,0.0,7.0,5.0
03 Greedo,Free 03,7.4,Rap,Alamo,Dylan Green,2023.0,2023-01-18,774,https://www.pitchfork.com/reviews/albums/03-greedo-mike-free-free-03/,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2023-01-18,2023,149,0.0,7.0,6.0
03 Greedo,Project T-Pain,8.0,Rap,Bag Dat Money,Paul A. Thompson,2023.0,2024-01-11,857,https://www.pitchfork.com/reviews/albums/03-greedo-project-t-pain/,0FtsMKmZEq8fBWqdSOWtqp,547733.0,2024-01-11,2024,99,1.0,7.0,7.0
070 Shake,Modus Vivendi,7.3,Rap,G.O.O.D. Music / Def Jam,Reed Jackson,2020.0,2020-01-21,686,https://www.pitchfork.com/reviews/albums/070-shake-modus-vivendi/,12Zk1DFhCbHY6v3xep2ZjI,686907.0,2020-01-21,2020,20,0.0,3.0,1.0
070 Shake,You Can’t Kill Me,7.0,Rap,G.O.O.D. Music / Def Jam,Eric Torres,2022.0,2022-06-07,597,https://www.pitchfork.com/reviews/albums/070-shake-you-cant-kill-me/,12Zk1DFhCbHY6v3xep2ZjI,686907.0,2022-06-07,2022,98,0.0,3.0,2.0
070 Shake,Petrichor,7.0,Rap,Def Jam,Katherine St. Asaph,2024.0,2024-12-04,833,https://www.pitchfork.com/reviews/albums/070-shake-petrichor/,12Zk1DFhCbHY6v3xep2ZjI,686907.0,2024-12-04,2024,51,0.0,3.0,3.0
100 gecs,1000 gecs,7.4,Experimental / Electronic,Dog Show,Larry Fitzmaurice,2019.0,2019-07-27,573,https://www.pitchfork.com/reviews/albums/100-gecs-1000-gecs/,6PfSUFtkMVoDkx4MQkzOi3,666075.0,2019-07-27,2019,44,0.0,4.0,1.0
100 gecs,1000 gecs & The Tree of Clues,7.9,Experimental / Electronic,Big Beat / Atlantic,Cat Zhang,2020.0,2020-07-14,1065,https://www.pitchfork.com/reviews/albums/100-gecs-1000-gecs-and-the-tree-of-clues/,6PfSUFtkMVoDkx4MQkzOi3,666075.0,2020-07-14,2020,33,0.0,4.0,2.0
100 gecs,Snake Eyes EP,5.6,Experimental / Electronic,Dog Show / Atlantic,Joshua Minsoo Kim,2022.0,2022-12-12,601,https://www.pitchfork.com/reviews/albums/100-gecs-snake-eyes-ep/,6PfSUFtkMVoDkx4MQkzOi3,666075.0,2022-12-12,2022,64,0.0,4.0,3.0
100 gecs,"10,000 gecs",8.2,Experimental / Electronic,Dog Show / Atlantic,Julianne Escobedo Shepherd,2023.0,2023-03-16,1189,https://www.pitchfork.com/reviews/albums/100-gecs-10000-gecs/,6PfSUFtkMVoDkx4MQkzOi3,666075.0,2023-03-16,2023,31,0.0,4.0,4.0
1010Benja,Two Houses EP,7.9,Pop/R&B,Young Turks,Kevin Lozano,2018.0,2018-11-07,574,https://www.pitchfork.com/reviews/albums/1010-benja-sl-two-houses-ep/,7xBrMNV9UKo2THKIk9xpBK,13476.0,2018-11-07,2018,35,0.0,2.0,1.0
1010Benja,Ten Total,8.6,Pop/R&B,Three Six Zero,Brady Brickner-Wood,2024.0,2024-03-28,708,https://www.pitchfork.com/reviews/albums/1010benja-ten-total/,7xBrMNV9UKo2THKIk9xpBK,13476.0,2024-03-28,2024,45,0.0,2.0,2.0
10k.Caash,Planet Swajjur,6.2,Rap,Def Jam,Nadine Smith,2020.0,2020-02-19,741,https://www.pitchfork.com/reviews/albums/10kcaash-planet-swajjur/,4uyIwcaJgV9ShErevnVlNp,42231.0,2020-02-19,2020,85,0.0,1.0,1.0
12 Rods,If We Stayed Alive,7.3,Rock,American Dreams / Husky Pants,Brad Shoup,2023.0,2023-07-07,784,https://www.pitchfork.com/reviews/albums/12-rods-if-we-stayed-alive/,4aPT61obombRBkg2Fx69i2,25593.0,2023-07-07,2023,32,0.0,1.0,1.0
1tbsp,megacity1000,7.0,Electronic,Sumoclic,Harry Tafoya,2024.0,2024-09-03,442,https://www.pitchfork.com/reviews/albums/1tbsp-megacity1000/,6G01WYFYF91rjG5LtwMhY4,46495.0,2024-09-03,2024,29,0.0,1.0,1.0
2 Chainz,Pretty Girls Like Trap Music,8.0,Rap,Def Jam,Paul A. Thompson,2017.0,2017-06-16,1016,https://www.pitchfork.com/reviews/albums/2-chainz-pretty-girls-like-trap-music/,17lzZA2AlOHwCwFALHttmp,8298936.0,2017-06-16,2017,99,0.0,5.0,1.0
2 Chainz,The Play Don’t Care Who Makes It EP,7.5,Rap,Def Jam,Briana Younger,2018.0,2018-02-14,543,https://www.pitchfork.com/reviews/albums/2-chainz-the-play-dont-care-who-makes-it-ep/,17lzZA2AlOHwCwFALHttmp,8298936.0,2018-02-14,2018,31,0.0,5.0,2.0
2 Chainz,Rap or Go to the League,7.6,Rap,Def Jam,Sheldon Pearce,2019.0,2019-03-06,954,https://www.pitchfork.com/reviews/albums/2-chainz-rap-or-go-to-the-league/,17lzZA2AlOHwCwFALHttmp,8298936.0,2019-03-06,2019,157,0.0,5.0,3.0
2 Chainz,Dope Don’t Sell Itself,6.4,Rap,Def Jam,Jackson Howard,2022.0,2022-02-04,680,https://www.pitchfork.com/reviews/albums/2-chainz-dope-dont-sell-itself/,17lzZA2AlOHwCwFALHttmp,8298936.0,2022-02-04,2022,24,0.0,5.0,4.0
2 Chainz,Welcome 2 Collegrove,5.8,Rap,Def Jam,Paul A. Thompson,2023.0,2023-12-26,693,https://www.pitchfork.com/reviews/albums/2-chainz-lil-wayne-welcome-2-collegrove/,17lzZA2AlOHwCwFALHttmp,8298936.0,2023-12-26,2023,99,0.0,5.0,5.0
200 Stab Wounds,Slave to the Scalpel,6.8,Metal,Maggot Stomp,Brad Sanders,2021.0,2021-11-12,633,https://www.pitchfork.com/reviews/albums/200-stab-wounds-slave-to-the-scalpel/,6DH6xC3RoN7L7sGlJ60LKv,86816.0,2021-11-12,2021,28,0.0,2.0,1.0
200 Stab Wounds,Manual Manic Procedures,7.6,Metal,Metal Blade,Sadie Sartini Garner,2024.0,2024-07-25,866,https://www.pitchfork.com/reviews/albums/200-stab-wounds-manual-manic-procedures/,6DH6xC3RoN7L7sGlJ60LKv,86816.0,2024-07-25,2024,60,0.0,2.0,2.0
