artist,album,score,genre,label,reviewer,year,review_date,length,url
Sam Gendel,AUDIOBOOK,7.3,Jazz / Experimental,Psychic Hotline,Shy Clara Thompson,2023.0,2023-10-24,529,https://www.pitchfork.com/reviews/albums/sam-gendel-marcella-cytrynowicz-audiobook/
Olof Dreijer,Rosa Rugosa EP,7.7,Electronic,Hessle Audio,Philip Sherburne,2023.0,2023-10-24,560,https://www.pitchfork.com/reviews/albums/olof-dreijer-rosa-rugosa-ep/
The Streets,The Darker the Shadow the Brighter the Light,6.0,Rap,679,Louis Pattison,2023.0,2023-10-23,810,https://www.pitchfork.com/reviews/albums/the-streets-the-darker-the-shadow-the-brighter-the-light/
Offset,Set It Off,6.3,Rap,Motown,Stephen Kearse,2023.0,2023-10-23,743,https://www.pitchfork.com/reviews/albums/offset-set-it-off/
Green-House,A Host for All Kinds of Life,7.6,Electronic / Experimental,Leaving,Hattie Lindert,2023.0,2023-10-23,687,https://www.pitchfork.com/reviews/albums/green-house-a-host-for-all-kinds-of-life/
Lost Girls,Selvutsletter,7.8,Experimental,Smalltown Supersound,Daniel Bromfield,2023.0,2023-10-23,835,https://www.pitchfork.com/reviews/albums/lost-girls-selvutsletter/
Jim Jones,Harlem: Diary of a Summer,8.1,Pop/R&B / Rap,Koch,Paul A. Thompson,2005.0,2023-10-22,2480,https://www.pitchfork.com/reviews/albums/jim-jones-harlem-diary-of-a-summer/
The Feelies,Some Kinda Love: Performing the Music of the Velvet Underground,7.7,Rock,Bar/None,Stephen Thomas Erlewine,2023.0,2023-10-21,671,https://www.pitchfork.com/reviews/albums/the-feelies-some-kinda-love-performing-the-music-of-the-velvet-underground/
Jane Remover,Census Designated,7.8,Experimental / Pop/R&B,deadAir,Kieran Press-Reynolds,2023.0,2023-10-20,762,https://www.pitchfork.com/reviews/albums/jane-remover-census-designated/
The Rolling Stones,Hackney Diamonds,4.5,Rock,Geffen,Grayson Haver Currin,2023.0,2023-10-20,1219,https://www.pitchfork.com/reviews/albums/the-rolling-stones-hackney-diamonds/
The Drums,Jonny,6.7,Pop/R&B,Anti-,Zhenzhen Yu,2023.0,2023-10-20,374,https://www.pitchfork.com/reviews/albums/the-drums-jonny/
Jay Worthy,The Am3rican Dream,6.8,Rap,GDF / Keep It Lit / SRFSCHL,Dylan Green,2023.0,2023-10-20,482,https://www.pitchfork.com/reviews/albums/harry-fraud-jay-worthy-kamaiyah-the-am3rican-dream/
Ken Carson,A Great Chaos,7.8,Rap,Opium / Interscope,Mano Sundaresan,2023.0,2023-10-19,862,https://www.pitchfork.com/reviews/albums/ken-carson-a-great-chaos/
Tex Crick,Sweet Dreamin’,6.8,Rock,Mac’s Record Label,Claire Shaffer,2023.0,2023-10-19,492,https://www.pitchfork.com/reviews/albums/tex-crick-sweet-dreamin/
Sarah Morrison,Attachment Figure,7.3,Pop/R&B,Ramp Local,Rachel Saywitz,2023.0,2023-10-19,665,https://www.pitchfork.com/reviews/albums/sarah-morrison-attachment-figure/
Vanishing Twin,Afternoon X,7.2,Rock,Fire,Maria Eberhart,2023.0,2023-10-19,495,https://www.pitchfork.com/reviews/albums/vanishing-twin-afternoon-x/
MIKE,Burning Desire,8.1,Rap,10k,Brandon Callender,2023.0,2023-10-18,757,https://www.pitchfork.com/reviews/albums/mike-burning-desire/
