artist_id,artist,album_count,song_count
2rDxtYUzTAYJJE3Bl3Z5IN,Jeff Tweedy,21.0,155.0
0WCo84qtCKfbyIf1lqQWB4,Geese,9.0,49.0
0mneo6UHjcOtZBm1Tw8t67,Piotr Kurek,12.0,73.0
2z6qOkQVyn7h3XzUuNlRlM,Paul St. Hilaire,18.0,101.0
0dgJbQ0bKPyUXco8hEXN7X,Ø,50.0,123.0
6R1kfr0GIWnwxY4zW11Vag,Frost Children,44.0,122.0
4mw86zm4QZIL8SksdyE6OU,múm,23.0,146.0
4kYSro6naA4h99UJvo89HB,Cardi B,50.0,287.0
1TQhvHMVoECTNs3Xxo3RMv,Asher White,27.0,142.0
0m2UovS6OpaxRZ3e30plk1,Orcutt Shelley Miller,3.0,7.0
4MdQ9btIlh6rzIMA19tu3L,Joanne Robertson,12.0,71.0
4HcUiDJk4PN2Ac2b1ZJT3E,Kieran Hebden,11.0,45.0
24b0qNYNgeOfpP5rbljIB3,JADE,22.0,69.0
4eR9k3I0YKCQUvvP2ojptw,Joan Shelley,27.0,126.0
4iJE0jzx9tLd3JE9TGhcpC,Verses GT,7.0,23.0
6un6trkuuP46AZM0kkY8Yx,Rian Treanor,17.0,62.0
7jrNr1OwKCfNDfHkwOTJnc,The Jim Carroll Band,3.0,21.0
0X380XXQSNBYuleKzav5UO,Nine Inch Nails,39.0,376.0
4j7DrazfBZLLD0OrVoAtEe,Wednesday,10.0,73.0
6beUvFUlKliUYJdLOXNj9C,King Princess,32.0,106.0
03546gvcoicKs6C10YdXvk,Anysia Kym,12.0,56.0
67FB4n52MgexGQIG8s0yUH,Lola Young,30.0,117.0
71ISXR7gtIq5E2AdI3jGf0,Maruja,16.0,39.0
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,50.0,438.0
2r5elgyPQ19vDG3xSQn39k,mark william lewis,12.0,45.0
6qJSWLT4bvL49hEyXxc3G9,The Hidden Cameras,41.0,239.0
7tzI4rSFTHafjF18ZrNZWx,Jens Lekman,14.0,114.0
3L3ejltt5dmjXkES4YSGKX,Oli XL,8.0,27.0
23JjxOmZ2pJYgyytD1lDtY,dolo2000,50.0,149.0
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,30.0,172.0
6WP8xxDLcPKNgdQWjU3BzN,Liquid Mike,19.0,104.0
7iWASaTHnteWNmrXH3IDCg,Ben Bondy,7.0,26.0
5wbIWUzTPuTxTyG6ouQKqz,Phish,50.0,1079.0
20vuBdFblWUo2FCOvUzusB,David Byrne,43.0,394.0
1BfYXNfaB5HBwHn4gxnEQE,Algernon Cadwallader,7.0,59.0
7lQKE6HaKQcCsgLRMhsh5W,La Dispute,18.0,127.0
0R4GqPzobzIMpRgEKJ4c5i,Titanic,7.0,23.0
25BObiRSDCMwVrBGIVaLIf,james K,18.0,70.0
44vfrGSSsXFddb8qDq9gxC,Flur,3.0,12.0
2WOMBqEsllg2ICn7D2L8ta,Jehnny Beth,21.0,84.0
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,50.0,320.0
6LEeAFiJF8OuPx747e1wxR,Blood Orange,32.0,126.0
6Rx1JKzBrSzoKQtmbVmBnM,Hayley Williams,30.0,82.0
37uLId6Z5ZXCx19vuruvv5,Hot Chip,50.0,301.0
6FD0unjzGQhX3b6eMccMJe,Ghostface Killah,50.0,556.0
3OAxV7SBURDucfRHHQlJ2V,Brian Dunne,27.0,134.0
4LC4vkseYrSEDd6MjZvOO9,Lucrecia Dalt,18.0,128.0
1N2FgBLehaq77UEdJhCt7f,Saint Etienne,40.0,284.0
7HO5fOXE4gh3lzZn64tX2E,Mariah the Scientist,30.0,73.0
4RozeU8Gb3RQ9qqsEbf3JT,Anna Domino,7.0,72.0
05fG473iIaoy82BF1aGhL8,Slipknot,19.0,292.0
5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,18.0,99.0
0TuxD3IK2QvHwgvacDPk9Q,Akasha System,25.0,134.0
2KiesFSnD8ccUdEeZZOo4q,Ami Taf Ra,5.0,21.0
7naOvlP3zuvwVn7hiSeGwJ,Greg Freeman,6.0,32.0
7DjwIxbe8kpw4pqnzAMoin,The Beths,14.0,93.0
36pCa1JHc6hlGbfEmLzJQc,Stars of the Lid,11.0,91.0
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,50.0,184.0
09yvLritEUxHrzx5TlFvbl,Margo Price,40.0,155.0
32ONqBogM4wH7VRbcMZYtE,Ganser,25.0,78.0
112l2WmZaTlJcl13f4iFAs,Anna Tivel,25.0,135.0
4FGPzWzgjURDNT7JQ8pYgH,Zach Top,,
6sU6B7cuctosL0gOhgeBdr,Lathe of Heaven,7.0,32.0
0YMeriqrS3zgsX24nfY0F0,The Tragically Hip,30.0,382.0
370nbSkMB9kDWyTypwWYak,Haruomi Hosono,50.0,393.0
7fzLcx63YD00IsWgK4ypDh,Terre Thaemlitz,1.0,5.0
3VBNIRx1LxVdRqOiPgkLwv,CMAT,25.0,87.0
3btzEQD6sugImIHPMRgkwV,Wolf Alice,24.0,127.0
3A5tHz1SfngyOZM2gItYKu,Earl Sweatshirt,18.0,127.0
6rniTPs9zN26kYnkPdFl1U,Sir Chloe,22.0,55.0
5xTWck1vHVlTTI0jTQzUuF,Hunx and His Punx,8.0,46.0
7zNkqI6qRr0OJ4XO1Pw29g,Nourished by Time,26.0,55.0
72f5AR6hMeL3BwtcO7HqhS,Alison Goldfrapp,24.0,120.0
7x4So74vIUx3DaLk93JCFf,Kathleen Edwards,17.0,91.0
6hYlNLoZJg74dVhA8FHIc0,Water From Your Eyes,33.0,122.0
6P86FLVAK4sxu8OhyQJBvH,Kaitlyn Aurelia Smith,50.0,188.0
671sBQXQM2vHSu0AGvpfDs,Scree,27.0,408.0
3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,39.0,266.0
7lmde7T1WJPFwv1eR6melP,Superchunk,50.0,501.0
3BJX1nYizKvWpZTY5HOAr4,Charley Crockett,47.0,312.0
3inCNiUr4R6XQ3W43s9Aqi,Pavement,19.0,415.0
3ND5NWoKzlelYDDyWqSQpQ,Susumu Yokota,38.0,448.0
5poU7FPEYoBlwjzOEWMbX5,Hand Habits,26.0,120.0
5bCNJ1ICzdnzK0yoCIP2Ip,The World Is a Beautiful Place & I Am No Longer Afraid to Die,19.0,134.0
5vjTuHApbJQOo9L3Ro2KM8,Pino Palladino,9.0,22.0
6Ghvu1VvMGScGpOUJBAHNH,Deftones,,
7gW0r5CkdEUMm42w9XpyZO,Laufey,,
4N0TAwz9vhnQtjCqS65aKS,Audrey Hobert,,
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,,
04gDigrS5kc9YWfZHwBETP,Maroon 5,,
519lIb4ZQM267yqJrVFhhY,Mark Ernestus’ Ndagga Rhythm Force,,
6qgnBH6iDM91ipVXv28OMu,Kaytranada,,
7uLXW75DlTRahz2WKJZGeO,Steve Gunn,,
5zaSiNpGxS2lOvZTIZiOQX,Racing Mount Pleasant,,
0knGpCTbmG4ctl1wzYRZs4,Dijon,,
6yoW6SfviQ5D4Wa5jGxh7f,Pool Kids,,
6O1vRHWVGKJTnWuJmItnsx,Rio Da Yung OG,,
5JIVodFcCSJg9EEBsMQyYd,Various Artists,,
2iUVQjheBnvOt8vaBrxXJz,Cass McCombs,,
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,,
44pUNjqg4mExLyFHnB3Bqf,Pile,,
29FujBxc4P5mvmNas09T0F,Mondo Lava,,
6TIYQ3jFPwQSRmorSezPxX,MGK,,
7Ht57YadlBXcFJDK3plmhO,Phil Elverum,,
7LjXznzJeKuvjRbNcBWd6Z,wolfacejoeyy,,
3zz52ViyCBcplK0ftEVPSS,Quadeca,,
1vyLURMcHJloqO9yj6tT9k,coatshek,,
4wMfqR1EZagrSlYndItxGQ,Field Medic,,
0Ynh5WKqwbdYqJUpVpfEGS,Osees,,
2UwJRAgSOi1zcLkvUNc8XL,Anamanaguchi,,
16RxzjUYa7obi9QXP02WO1,Recoechi,,
5N7DAaXV1EVXS8h2wyYrx2,No Joy,,
2gyv1akuIB9fQvXoGSPaJr,Big Freedia,,
1kM5BZXs7FFN8Dj1WpgH2j,Vylet Pony,,
3X458ddYA2YcVWuVIGGOYe,Toni Braxton,,
5c3GLXai8YOMid29ZEuR9y,Nick Drake,,
21UPYSRWFKwtqvSAnFnSvS,Amaarae,,
3sE8O47mEFWR6pL0rwnAHy,Ada Lea,,
4tT8fWyOy0hVI7jo9fJmXX,Mal Blum,,
0avMDS4HyoCEP6RqZJWpY2,Ethel Cain,,
7mnBLXK823vNxN3UWB7Gfz,The Black Keys,,
3NegWDGp038A3FIi3gSYzl,Ali Sethi,,
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,,
0QHgL1lAIqAw0HtD7YldmP,DJ K,,
2oM7LMPFu882oC6jSwEqjd,Xaviersobased,,
59IPo3F7aZifhZtHnoGHbo,Heatmiser,,
2iXdwLTWyFhlN1MQWIymvM,AraabMuzik,,
0XtC2d9ZVigYA7iMy5YkW0,2pillz,,
4V5obzWMr7BHZrjOiQwB4K,The Armed,,
5c4ikaZ8nPKn10NLZZCF0I,Rounak Maiti,,
2qDdxfKUpYg8wc49KIuT3b,Tommy Genesis,,
3PP5Hnii2zI9Ufm7jFkers,Shudder to Think,,
2hUYKu1x0UZQXvzCmggvSn,Reneé Rapp,,
3TJZG17pjOKXwx1ELKJPfm,Wisp,,
7wXTWO45lqpUejDkike0Gf,Sofia Kourtesis,,
2i0QIuHqoui64KdE9xxAbL,zayALLCAPS,,
0Y4inQK6OespitzD6ijMwb,Freddie Gibbs,,
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,,
6RcgNRwyY9YNTXd9luk8JW,Lelo,,
6tbjWDEIzxoDsBA1FuhfPW,Madonna,,
5gspAQIAH8nJUrMYgXjCJ2,Kurt Vile,,
5s1QeAf7U5ELP9PTeLaicb,Homeboy Sandman,,
4vV7A3OS088S8Ps2NtTcRO,Chuquimamani-Condori,,
6UIpxj5ggLdOebFVCOxVax,Loe Shimmy,,
2XG4LWrmKXFA1PqnUsuPj6,Cory Hanson,,
3ir2pF2mkiEWqyPenKTh5e,Indigo De Souza,,
559oW3wcVAW5tcL1DQniyf,rRoxymore,,
0EzsHuJxUDcfqSqvoPhKG4,Far Caspian,,
4eQJIXFEujzhTVVS1gIfu5,Deee-Lite,,
13ZEDW6vyBF12HYcZRr4EV,Tyler Childers,,
7Ah0xZVyWfAL3Vd7OVvKuo,Ryan Davis & the Roadhouse Band,,
1gLcT6lcN6AHTRdpRSXAyi,Cleo Reed,,
0jpSfOVe0Lec1vz5VjQH7S,forty winks,,
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, the Creator",,
2yQf6b8hxahZaT5dHlWaB1,Raekwon,,
4bOqkIGQCcuZgjfDxNuX1I,Anycia,,
5A7T1LAGJg5NXySBoIKUmF,Che,,
4yfPiAauSgUfyc4k4WtwM9,Laura Jane Grace,,
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,,
4mcHKwboFDmpDBQ4fiOrf3,Two Shell,,
6kEyGr2dFnzcKGxpHmnJnn,Sofie Birch,,
6hkch2KhRl0tywpeVK5xR5,Jonathan Richman,,
7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,,
58yu67FLeWi0auMgHNfIHt,Disiniblud,,
1EeZGqKiuxGQlAWqGDkd1C,Le Diouck,,
2wAPeWKKHrPZ3UUqnw9Bpy,Connie Converse,,
5m8H6zSadhu1j9Yi04VLqD,Sly and the Family Stone,,
7IrBqZo6diq3hV3GpUhrs2,Jim Legxacy,,
3wcj11K77LjEY1PkEazffa,Burna Boy,,
6hj2p7pzusn5Fcdi35Yedr,$ilkMoney,,
6lcwlkAjBPSKnFBZjjZFJs,Alex G,,
3XxrXIYWH5PpuTbYSXDOZw,Takako Minekawa,,
2VFnxZPBUoglahI0kc6dvc,DEMIYAA,,
2yKb2sD6dystFr0tTmSu2X,gyrofield,,
5Rjjv8zylcQ7E6BdboJu2A,Brutus VIII,,
5CuU6SRJjbbZL926nSGGxX,Open Mike Eagle,,
13VynrBSvRLrAX5YqdD1vl,DJ Haram,,
4VnaEWTHIwbqbDCwNPpfde,Jonny Nash,,
2TwOrUcYnAlIiKmVQkkoSZ,Wet Leg,,
1vkVP0FhEbUzaU1ztl7YmK,Tony Njoku,,
